name,rating,score,votes,budget,gross,runtime,log_votes,weighted_score,runtime_category,director_top10,writer_top10,star_top30,genre_top10,country_top5,company_top10,is_hit
The Shawshank Redemption,R,0.9999999999999999,0.9999999999999999,0.7703331046475647,0.7380672282093081,0.3798076923076923,14.690979711984754,136.6261113214582,long,Others,Stephen King,Others,Drama,United States,Others,0
True Lies,R,0.7162162162162161,0.7566990643540469,0.9113784881305681,0.9042787852812877,0.375,12.400820837540556,89.285910030292,long,Others,Others,Arnold Schwarzenegger,Action,United States,Twentieth Century Fox,1
The Mask,PG-13,0.6756756756756757,0.7975657953845942,0.7626265798411348,0.8994542845488573,0.1826923076923077,12.7854938618783,88.21990764696028,normal,Others,Others,Jim Carrey,Action,United States,New Line Cinema,1
Speed,R,0.7162162162162161,0.7920695383600215,0.7871841300150656,0.8992456227199392,0.2548076923076923,12.733758336210744,91.68306002071736,normal,Others,Others,Keanu Reeves,Action,United States,Others,1
Stargate,PG-13,0.7027027027027026,0.7248168318513858,0.8432060843022263,0.8619414580902045,0.2548076923076923,12.100717685412471,85.91509556642855,normal,Others,Others,Others,Action,United States,Others,1
The Little Rascals,PG,0.5945945945945945,0.5775420449596868,0.7626265798411348,0.7927973691259462,0.09134615384615385,10.714439990727769,67.50097194158494,short,Others,Others,Others,Comedy,United States,Universal Pictures,1
Dumb and Dumber,PG-13,0.7297297297297296,0.7987495099554008,0.7346883444657702,0.8767479411208712,0.21153846153846156,12.796636007394284,93.41544285397826,normal,Others,Others,Jim Carrey,Comedy,United States,New Line Cinema,1
Legends of the Fall,R,0.7567567567567567,0.7082434177360258,0.7871841300150656,0.8489190032550522,0.33653846153846156,11.944714374881176,89.58535781160882,long,Others,Others,Brad Pitt,Drama,United States,TriStar Pictures,1
Natural Born Killers,R,0.7297297297297296,0.7470969217879709,0.7987523030008651,0.7739839299495408,0.26442307692307687,12.310437165348777,89.86619130704605,normal,Others,Others,Others,Action,United States,Warner Bros.,0
The Crow,R,0.7702702702702701,0.7187444950310776,0.7626265798411348,0.7745072993086861,0.1875,12.04355959836804,91.5310529475971,normal,Others,Others,Others,Action,United States,Others,1
Interview with the Vampire: the Vampire Chronicles,R,0.7567567567567567,0.7794390088071382,0.851248089728123,0.87027335597249,0.28846153846153844,12.614868865984633,94.61151649488474,long,Others,Others,Brad Pitt,Drama,United States,Others,1
Four Weddings and a Funeral,R,0.7027027027027026,0.7011107486149423,0.609766241872456,0.8763358123544531,0.2596153846153846,11.87757552297847,84.33078621314714,normal,Others,Others,Others,Comedy,United Kingdom,Others,1
